City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,74.7,45,70,2.59,light rain
1,Busselton,AU,-33.65,115.3333,63.25,56,0,14.34,clear sky
2,Lerwick,GB,60.1545,-1.1494,41.0,68,100,14.12,overcast clouds
3,Moron,AR,-34.6534,-58.6198,68.02,96,100,1.86,overcast clouds
4,Bengkulu,ID,-3.8004,102.2655,74.41,89,100,4.32,overcast clouds
5,Tiksi,RU,71.6872,128.8694,-32.96,100,91,5.84,overcast clouds
6,Aklavik,CA,68.2191,-135.0107,-10.52,99,89,7.05,overcast clouds
7,Avarua,CK,-21.2078,-159.775,82.45,83,75,6.91,broken clouds
8,Dzerzhinsk,RU,56.2389,43.4631,35.42,100,100,6.71,light rain
9,Prince Rupert,CA,54.3161,-130.3201,46.49,56,75,41.43,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,53.71,62,20,27.63,light rain
11,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,75,11.5,broken clouds
12,Barrow,US,71.2906,-156.7887,6.82,85,100,9.22,overcast clouds
13,Albany,US,42.6001,-73.9662,37.67,85,84,3.65,broken clouds
14,Yalta,UA,44.5,34.1667,51.1,66,37,7.29,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,76.39,79,100,12.21,moderate rain
16,Atuona,PF,-9.8,-139.0333,78.12,79,15,16.8,light rain
17,Port Elizabeth,ZA,-33.918,25.5701,68.31,93,4,3.0,clear sky
18,Minamiashigara,JP,35.3193,139.099,48.47,63,5,2.73,clear sky
19,Gold Coast,AU,-28.0,153.4333,85.77,58,40,12.66,scattered clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,33,1.01,scattered clouds
21,Ranong,TH,9.9658,98.6348,66.13,87,76,5.77,broken clouds
22,Khudumelapye,BW,-23.8833,24.75,67.3,68,63,9.42,broken clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,-9.69,92,11,14.67,few clouds
24,Solnechnyy,RU,50.7214,136.6319,-12.8,98,100,2.39,overcast clouds
25,Kaitangata,NZ,-46.2817,169.8464,66.65,61,5,8.5,clear sky
26,Ushuaia,AR,-54.8,-68.3,51.46,62,75,9.22,light rain
27,Hobart,AU,-42.8794,147.3294,75.06,80,0,4.61,clear sky
28,Necochea,AR,-38.5473,-58.7368,62.62,95,100,14.92,light rain
29,Ribeira Grande,PT,38.5167,-28.7,59.77,69,71,17.0,broken clouds
30,Caravelas,BR,-17.7125,-39.2481,75.07,88,17,6.17,few clouds
31,Berlevag,NO,70.8578,29.0864,33.75,86,100,11.5,light snow
32,Yulara,AU,-25.2406,130.9889,92.16,37,100,12.57,overcast clouds
33,Mezen,RU,65.8522,44.24,18.64,96,100,5.3,light snow
34,Touros,BR,-5.1989,-35.4608,79.07,80,99,11.12,overcast clouds
35,Lagoa,PT,39.05,-27.9833,58.03,73,97,27.16,overcast clouds
36,Yellowknife,CA,62.456,-114.3525,-14.12,100,40,3.33,scattered clouds
37,Rockhampton,AU,-23.3833,150.5,84.09,51,75,9.22,broken clouds
38,Cape Town,ZA,-33.9258,18.4232,73.38,66,0,21.85,clear sky
39,Ust-Uda,RU,54.1742,103.0304,-24.86,100,66,1.68,broken clouds
40,Sioux Lookout,CA,50.1001,-91.917,19.47,93,100,9.22,mist
41,Preston,GB,53.7667,-2.7167,44.49,97,99,5.37,overcast clouds
42,Binga,ZW,-17.6203,27.3414,69.28,93,100,4.18,moderate rain
43,Bluff,NZ,-46.6,168.3333,61.41,69,27,3.36,scattered clouds
44,Pavlodar,KZ,52.3,76.95,-13.2,77,100,2.24,fog
45,Thompson,CA,55.7435,-97.8558,-8.48,100,61,2.64,broken clouds
46,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,20,5.75,few clouds
47,Itoman,JP,26.1247,127.6694,64.42,63,75,13.8,broken clouds
48,Hermanus,ZA,-34.4187,19.2345,69.8,84,13,16.13,few clouds
49,Shimsk,RU,58.212,30.7127,28.53,83,74,11.03,broken clouds
50,Kapaa,US,22.0752,-159.319,80.92,68,0,9.22,clear sky
51,Huarmey,PE,-10.0681,-78.1522,71.46,79,57,9.53,broken clouds
52,Richards Bay,ZA,-28.783,32.0377,63.55,87,1,4.38,clear sky
53,Coquimbo,CL,-29.9533,-71.3436,64.13,88,0,10.36,clear sky
54,Upernavik,GL,72.7868,-56.1549,-16.78,83,76,6.91,broken clouds
55,Magdalena,PH,14.1999,121.429,83.35,85,50,7.52,scattered clouds
56,Ozu,JP,33.5,132.55,47.82,60,40,7.99,scattered clouds
57,Quang Ngai,VN,15.1167,108.8,66.78,89,100,8.95,overcast clouds
58,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,83,1.39,light rain
59,Skibbereen,IE,51.55,-9.2667,40.37,82,12,8.68,few clouds
60,Ahipara,NZ,-35.1667,173.1667,71.67,59,100,15.23,overcast clouds
61,Clovis,US,36.8252,-119.7029,55.29,68,40,10.36,scattered clouds
62,Road Town,VG,18.4167,-64.6167,78.89,88,40,5.75,scattered clouds
63,Dawlatabad,AF,36.4141,64.9053,35.96,77,1,1.48,clear sky
64,Ola,RU,59.5833,151.2833,14.14,78,100,17.45,overcast clouds
65,Tres Picos,MX,15.8667,-93.5333,78.67,79,84,3.2,broken clouds
66,Hilo,US,19.7297,-155.09,80.33,75,20,12.66,few clouds
67,East London,ZA,-33.0153,27.9116,68.0,84,13,11.34,few clouds
68,Mataura,NZ,-46.1927,168.8643,75.54,42,25,2.39,scattered clouds
69,Banda Aceh,ID,5.5577,95.3222,75.24,84,73,9.51,broken clouds
70,Kalabo,ZM,-14.97,22.6814,65.97,93,100,4.14,overcast clouds
71,Castro,BR,-24.7911,-50.0119,65.35,88,66,5.03,broken clouds
72,Mahibadhoo,MV,3.7833,72.9667,80.01,67,62,11.59,broken clouds
73,Airai,TL,-8.9266,125.4092,63.41,92,100,5.82,overcast clouds
74,Dingle,PH,10.9995,122.6711,76.3,92,100,7.18,overcast clouds
75,Algodones,MX,20.3888,-105.4773,72.14,76,0,4.18,clear sky
76,Leningradskiy,RU,69.3833,178.4167,-31.65,95,24,4.07,few clouds
77,Vaini,TO,-21.2,-175.2,84.36,79,75,8.05,light rain
78,Daudnagar,IN,25.0333,84.4,49.82,66,18,2.82,few clouds
79,Salalah,OM,17.0151,54.0924,73.49,43,0,13.8,clear sky
80,San Quintin,MX,30.4833,-115.95,59.5,63,18,21.97,few clouds
81,Terrace Bay,CA,48.7834,-87.1,30.07,91,99,10.02,overcast clouds
82,Norman Wells,CA,65.282,-126.8329,3.24,85,75,11.5,light snow
83,Nkowakowa,ZA,-23.8878,30.2871,67.28,76,100,1.7,overcast clouds
84,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,11.5,scattered clouds
85,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,70,58,8.59,broken clouds
86,Butaritari,KI,3.0707,172.7902,82.0,74,71,14.27,broken clouds
87,San Patricio,US,28.017,-97.5169,76.15,91,24,12.1,few clouds
88,Oum Hadjer,TD,13.2954,19.6966,66.42,30,0,10.29,clear sky
89,Port Lincoln,AU,-34.7333,135.8667,68.86,68,0,15.28,clear sky
90,Cabo San Lucas,MX,22.8909,-109.9124,78.1,64,0,13.8,clear sky
91,Byron Bay,AU,-28.65,153.6167,78.71,58,31,11.68,scattered clouds
92,Vardo,NO,70.3705,31.1107,33.78,93,100,23.02,light snow
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,88,94,14.52,overcast clouds
94,Cidreira,BR,-30.1811,-50.2056,73.56,92,22,22.97,few clouds
95,Verkhnyaya Inta,RU,65.9811,60.3094,-2.7,76,100,23.31,overcast clouds
96,Alofi,NU,-19.0595,-169.9187,84.09,79,99,10.36,light rain
97,Saskylakh,RU,71.9167,114.0833,-5.96,99,100,3.71,overcast clouds
98,Tuatapere,NZ,-46.1333,167.6833,69.03,57,46,5.37,scattered clouds
99,San Ignacio,BZ,17.1561,-89.0714,73.98,82,51,5.23,broken clouds
100,Port Macquarie,AU,-31.4333,152.9167,76.89,57,22,7.02,few clouds
101,Carnarvon,AU,-24.8667,113.6333,76.87,61,0,23.42,clear sky
102,Geraldton,AU,-28.7667,114.6,75.61,41,0,18.41,clear sky
103,Asau,RO,46.4333,26.4,34.72,76,87,6.76,overcast clouds
104,Matamoros,MX,25.5333,-103.25,80.71,19,0,10.36,clear sky
105,Isangel,VU,-19.55,169.2667,84.31,84,75,13.8,broken clouds
106,Longyearbyen,SJ,78.2186,15.6401,31.84,74,20,33.38,few clouds
107,Artvin,TR,41.1667,41.8333,38.03,51,11,4.12,few clouds
108,Quelimane,MZ,-17.8786,36.8883,72.14,94,6,2.95,clear sky
109,Torbay,CA,47.6666,-52.7314,38.57,97,100,9.22,moderate rain
110,Mumbwa,ZM,-14.9783,27.0619,64.35,98,100,5.06,moderate rain
111,Jamestown,US,42.097,-79.2353,43.02,72,100,12.66,mist
112,Kodiak,US,57.79,-152.4072,40.51,93,100,10.36,mist
