City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,74.7,light rain,-42.7826,147.0587,Woodbridge on the Derwent
1,Busselton,AU,63.25,clear sky,-33.65,115.3333,No hotel found
2,Lerwick,GB,41.0,overcast clouds,60.1545,-1.1494,Grand Hotel
3,Moron,AR,68.02,overcast clouds,-34.6534,-58.6198,La Esquina
4,Bengkulu,ID,74.41,overcast clouds,-3.8004,102.2655,Dena Hotel
7,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
8,Dzerzhinsk,RU,35.42,light rain,56.2389,43.4631,Дружба
9,Prince Rupert,CA,46.49,broken clouds,54.3161,-130.3201,Crest Hotel
10,Punta Arenas,CL,53.71,light rain,-53.15,-70.9167,Hotel Lacolet
11,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,No hotel found
12,Barrow,US,6.82,overcast clouds,71.2906,-156.7887,No hotel found
13,Albany,US,37.67,broken clouds,42.6001,-73.9662,No hotel found
14,Yalta,UA,51.1,scattered clouds,44.5,34.1667,Таврида
15,Rikitea,PF,76.39,moderate rain,-23.1203,-134.9692,Chez Bianca & Benoit
16,Atuona,PF,78.12,light rain,-9.8,-139.0333,Pearl Resort
17,Port Elizabeth,ZA,68.31,clear sky,-33.918,25.5701,Waterford Hotel
18,Minamiashigara,JP,48.47,clear sky,35.3193,139.099,ホテルとざんコンフォート大雄山
19,Gold Coast,AU,85.77,scattered clouds,-28.0,153.4333,The Sands Apartments
20,Puerto Ayora,EC,73.54,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
21,Ranong,TH,66.13,broken clouds,9.9658,98.6348,Rattana Sin Hotel
22,Khudumelapye,BW,67.3,broken clouds,-23.8833,24.75,No hotel found
25,Kaitangata,NZ,66.65,clear sky,-46.2817,169.8464,No hotel found
26,Ushuaia,AR,51.46,light rain,-54.8,-68.3,Apart Hotel Aires del Beagle
27,Hobart,AU,75.06,clear sky,-42.8794,147.3294,Vibe Hotel Hobart
28,Necochea,AR,62.62,light rain,-38.5473,-58.7368,Cabañas Río Quequén
29,Ribeira Grande,PT,59.77,broken clouds,38.5167,-28.7,No hotel found
30,Caravelas,BR,75.07,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
31,Berlevag,NO,33.75,light snow,70.8578,29.0864,No hotel found
32,Yulara,AU,92.16,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
33,Mezen,RU,18.64,light snow,65.8522,44.24,No hotel found
34,Touros,BR,79.07,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
35,Lagoa,PT,58.03,overcast clouds,39.05,-27.9833,Casa da Madrinha
37,Rockhampton,AU,84.09,broken clouds,-23.3833,150.5,Rockhampton Plaza
38,Cape Town,ZA,73.38,clear sky,-33.9258,18.4232,Townhouse Hotel
40,Sioux Lookout,CA,19.47,mist,50.1001,-91.917,Wellington Inn & Restaurant
41,Preston,GB,44.49,overcast clouds,53.7667,-2.7167,Legacy International Hotel
42,Binga,ZW,69.28,moderate rain,-17.6203,27.3414,Lake View Inn
43,Bluff,NZ,61.41,scattered clouds,-46.6,168.3333,No hotel found
46,Bambous Virieux,MU,72.21,few clouds,-20.3428,57.7575,No hotel found
47,Itoman,JP,64.42,broken clouds,26.1247,127.6694,No hotel found
48,Hermanus,ZA,69.8,few clouds,-34.4187,19.2345,Aloe guest house
49,Shimsk,RU,28.53,broken clouds,58.212,30.7127,No hotel found
50,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
51,Huarmey,PE,71.46,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
52,Richards Bay,ZA,63.55,clear sky,-28.783,32.0377,Protea Hotel
53,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hotel Iberia
55,Magdalena,PH,83.35,scattered clouds,14.1999,121.429,No hotel found
