City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,-27.89,100,20,2.62,few clouds
1,Lompoc,US,34.6391,-120.4579,56.52,87,100,8.05,mist
2,Thompson,CA,55.7435,-97.8558,5.16,85,100,5.75,light snow
3,Aksum,ET,14.1245,38.7244,58.53,67,40,1.99,scattered clouds
4,Bethel,US,41.3712,-73.414,39.06,52,0,9.22,clear sky
5,North Bend,US,43.4065,-124.2243,49.91,93,100,8.05,overcast clouds
6,Bluff,NZ,-46.6,168.3333,64.83,67,1,2.48,clear sky
7,Batagay,RU,67.6333,134.6333,-49.67,100,97,0.94,overcast clouds
8,Port Hawkesbury,CA,45.6169,-61.3485,36.99,98,100,17.0,moderate rain
9,Council Bluffs,US,41.2619,-95.8608,47.41,68,100,13.8,overcast clouds
10,Albany,US,42.6001,-73.9662,28.56,70,1,1.01,clear sky
11,Atuona,PF,-9.8,-139.0333,78.3,71,100,13.65,overcast clouds
12,Camden,US,39.7835,-74.9663,40.39,54,7,3.0,clear sky
13,Mataura,NZ,-46.1927,168.8643,75.22,39,1,6.15,clear sky
14,Hobart,AU,-42.8794,147.3294,65.05,55,20,5.75,few clouds
15,Richards Bay,ZA,-28.783,32.0377,72.18,95,0,4.18,clear sky
16,Bonwapitse,BW,-23.0766,26.7037,74.55,50,9,13.0,clear sky
17,Busselton,AU,-33.65,115.3333,61.41,64,44,14.36,scattered clouds
18,Avarua,CK,-21.2078,-159.775,78.85,65,100,9.22,overcast clouds
19,Vaini,TO,-21.2,-175.2,80.76,94,75,6.91,light rain
20,Cap Malheureux,MU,-19.9842,57.6142,77.47,79,6,8.01,moderate rain
21,Kralendijk,BQ,12.15,-68.2667,80.58,78,40,8.05,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,51.78,76,10,5.99,clear sky
23,Lima,PE,-12.0432,-77.0282,70.05,73,0,6.91,clear sky
24,Rikitea,PF,-23.1203,-134.9692,78.06,73,10,11.16,clear sky
25,Port Alfred,ZA,-33.5906,26.891,69.19,91,82,1.01,broken clouds
26,Kapaa,US,22.0752,-159.319,80.92,65,75,12.66,broken clouds
27,East London,ZA,-33.0153,27.9116,71.85,81,100,9.78,overcast clouds
28,Diveyevo,RU,55.0433,43.2418,10.9,94,56,10.94,broken clouds
29,Oussouye,SN,12.485,-16.5469,73.49,70,4,3.83,clear sky
30,Talnakh,RU,69.4865,88.3972,-35.41,88,12,7.29,few clouds
31,Severo-Kurilsk,RU,50.6789,156.125,16.21,77,100,28.52,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,70.81,85,65,16.71,broken clouds
33,Haverfordwest,GB,51.8017,-4.9691,42.57,88,100,9.24,overcast clouds
34,Figeac,FR,44.75,1.9167,38.77,94,82,6.67,broken clouds
35,Yellowknife,CA,62.456,-114.3525,1.92,78,75,6.91,light snow
36,Sokoni,TZ,-6.4333,39.55,80.46,78,91,11.79,overcast clouds
37,Katobu,ID,-4.9408,122.5276,77.9,83,100,1.99,overcast clouds
38,Grenfell,AU,-33.9,148.1667,82.6,37,76,8.25,broken clouds
39,Marsh Harbour,BS,26.5412,-77.0636,67.24,54,15,15.64,few clouds
40,Bubaque,GW,11.2833,-15.8333,77.32,74,6,15.1,clear sky
41,Galdar,ES,28.147,-15.6502,65.35,78,26,14.52,scattered clouds
42,Cabo San Lucas,MX,22.8909,-109.9124,81.18,38,20,21.85,few clouds
43,Longyearbyen,SJ,78.2186,15.6401,19.24,68,40,21.85,scattered clouds
44,Santa Rosa,PH,14.3122,121.1114,76.08,96,99,7.27,overcast clouds
45,Laguna De Perlas,NI,12.3429,-83.6712,78.89,68,94,17.4,overcast clouds
46,Dikson,RU,73.5069,80.5464,-34.35,94,6,3.65,clear sky
47,Zeya,RU,53.75,127.2667,-36.99,99,69,1.72,broken clouds
48,Faya,SA,18.3851,42.4509,52.32,71,41,2.08,scattered clouds
49,Port Hardy,CA,50.6996,-127.4199,44.78,100,100,2.3,light intensity shower rain
50,Obo,CF,5.3998,26.4869,81.95,22,95,8.28,overcast clouds
51,Chaoyang,CN,41.5703,120.4586,6.31,47,0,4.0,clear sky
52,New Norfolk,AU,-42.7826,147.0587,64.71,43,0,3.0,clear sky
53,Virginia Beach,US,36.8529,-75.978,43.02,64,20,13.8,few clouds
54,Lebu,CL,-37.6167,-73.65,57.69,77,62,18.81,broken clouds
55,Cacu,BR,-18.5567,-51.1308,74.64,85,100,3.13,very heavy rain
56,Qaanaaq,GL,77.484,-69.3632,-6.54,61,65,7.34,broken clouds
57,Prince Rupert,CA,54.3161,-130.3201,42.49,99,100,8.05,light rain
58,Fortuna,US,40.5982,-124.1573,53.98,82,20,10.36,few clouds
59,Hasaki,JP,35.7333,140.8333,45.0,84,100,16.55,overcast clouds
60,Alofi,NU,-19.0595,-169.9187,84.09,70,13,6.91,few clouds
61,Ushuaia,AR,-54.8,-68.3,56.86,51,75,4.61,broken clouds
62,Saskylakh,RU,71.9167,114.0833,-51.09,100,92,0.89,overcast clouds
63,Katsuura,JP,35.1333,140.3,50.04,88,100,9.55,light rain
64,Cartagena Del Chaira,CO,1.3349,-74.8429,80.44,68,88,1.86,overcast clouds
65,Qasigiannguit,GL,68.8193,-51.1922,17.85,95,100,6.8,overcast clouds
66,Punta Arenas,CL,-53.15,-70.9167,59.11,51,75,32.21,broken clouds
67,Pozo Colorado,PY,-23.4923,-58.7972,85.26,35,57,3.85,broken clouds
68,San Cristobal,VE,7.7669,-72.225,73.58,92,68,2.82,broken clouds
69,Anadyr,RU,64.75,177.4833,-10.7,76,0,11.01,clear sky
70,Zalantun,CN,48.0,122.7167,-13.79,90,38,3.91,scattered clouds
